Provinsi,2020,2021,2022,2023,2024
Aceh,5274.9,5334.9,5409.2,5482.5,5554.8
Sumatera Utara,14799.4,14970.5,15180.5,15386.6,15588.5
Sumatera Barat,5534.5,5597.3,5677.6,5757.2,5836.2
Riau,6394.1,6466.8,6555.8,6642.9,6728.1
Jambi,3548.2,3586.4,3633.2,3679.2,3724.3
Sumatera Selatan,8467.4,8548.6,8647.3,8743.5,8837.3
Bengkulu,2010.7,2032.4,2059.4,2086.0,2112.2
Lampung,9007.8,4438.6,4496.6,9314.0,9419.6
Kepulauan Bangka Belitung,1455.7,1471.8,1492.0,1511.9,1531.5
Kepulauan Riau,2064.6,2089.9,2121.5,2152.6,2183.3
DKI Jakarta,10562.1,10605.4,10640.0,10672.1,10684.9
Jawa Barat,48274.2,48738.8,49306.8,49860.3,50345.2
Jawa Tengah,36516.0,36811.1,37180.4,37541.0,37892.3
DI Yogyakarta,3668.7,3687.8,3712.6,3736.5,3759.5
Jawa Timur,40665.7,40921.1,41230.0,41527.9,41814.5
Banten,11904.6,12023.0,12167.0,12307.7,12431.4
Bali,4317.4,4343.4,4374.3,4404.3,4433.3
Nusa Tenggara Barat,5320.1,5387.2,5474.0,5560.3,5646.0
Nusa Tenggara Timur,5325.6,5394.4,5481.8,5569.1,5656.0
Kalimantan Barat,5414.4,5474.7,5549.7,5623.3,5695.5
Kalimantan Tengah,2670.0,2700.1,2737.2,2773.7,2809.7
Kalimantan Selatan,4073.6,4116.9,4170.2,4222.3,4273.4
Kalimantan Timur,3766.0,3803.5,3856.8,3909.7,4045.9
Kalimantan Utara,701.8,710.0,720.1,730.0,739.8
Sulawesi Utara,2621.9,2639.5,2660.8,2681.5,2701.8
Sulawesi Tengah,2985.7,3015.0,3051.2,3086.8,3121.8
Sulawesi Selatan,9073.5,9156.9,9260.1,9362.3,9463.4
Sulawesi Tenggara,2624.9,2659.9,2704.6,2749.0,2793.1
Gorontalo,1171.7,1183.5,1198.4,1213.2,1227.8
Sulawesi Barat,1419.2,1436.7,1458.9,1481.1,1503.2
Maluku,1848.9,1869.5,1895.1,1920.5,1945.6
Maluku Utara,1282.9,1299.6,1318.5,1337.1,1355.6
Papua Barat,1134.1,1149.4,1168.4,1187.33,1205.83
Papua,4303.7,4356.8,4420.7,4482.74,4542.64
